Date range: 01/24/2025 - 03/27/2025,Diag version: v4.0.11.6-RC03,Cycle count 1,,Cycle count 2,,Cycle count 3,,Cycle count 4,,Cycle count 5,
pcierrors-high-lane_error-rate,"PCIe serial number: RC164-2293 244517684, location: 0000:41:00.0, devpath: /phys/PE2/IO0:device:0000_41_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE2 to PE3,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-lane_error-rate,"PCIe serial number: 9ADK332Q40030, location: 0000:60:01.1, devpath: /phys/CPU0:device:nbio1.1:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE3 to PE2,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-lane_error-rate,"PCIe serial number: 2468056-1 244775946, location: 0000:81:00.0, devpath: /phys/PE4/IO0:device:0000_81_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE4 to PE5,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-lane_error-rate,"PCIe serial number: 2468056-1 244805404, location: 0000:a1:00.0, devpath: /phys/PE5/IO0:device:0000_a1_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE5 to PE4,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-lane_error-rate,"PCIe serial number: 9MC6912O40006, location: 0000:c0:01.1, devpath: /phys/CPU1:device:nbio1.0:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE6 to PE7,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-lane_error-rate,"PCIe serial number: PDFQMB244300424, location: 0000:e1:00.0, devpath: /phys/PE7/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE7 to PE6,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
Total Sensors fail,"total number of sensors is not expected value:[136](actual:135)-----------
 Missing:['MB OUTLET T 1,degrees C;']
 Extra:[]
",Repair 1,"1. Swap temp sensor I2COOL_0 to temp sensor I2COOL_1
2. Wipe connector terminals with alcohol
",Debug 1,"1. If failure following temp sensor, replace it
2. If failure staying on same location, verify for contamination on connector",Debug 2,1. Try new/golden temp sensor,Debug 2,1. Confirm mobo replacement,Debug 2,1. Confirm mobo replacement
Total Sensors fail,"total number of sensors is not expected value:[136](actual:135)-----------
 Missing:['MB OUTLET T 2,degrees C;']
 Extra:[]
",Repair 1,"1. Swap temp sensor I2COOL_1 to temp sensor I2COOL_2
2. Wipe connector terminals with alcohol",Debug 1,"1. If failure following temp sensor, replace it
2. If failure staying on same location, verify for contamination on connector",Debug 2,1. Try new/golden temp sensor,Debug 2,1. Confirm mobo replacement,Debug 2,1. Confirm mobo replacement
Total Sensors fail,"total number of sensors is not expected value:[136](actual:135)-----------
 Missing:['MB OUTLET T 3,degrees C;']
 Extra:[]
",Repair 1,"1. Swap temp sensor I2COOL_2 to temp sensor I2COOL_1
2. Wipe connector terminals with alcohol",Debug 1,"1. If failure following temp sensor, replace it
2. If failure staying on same location, verify for contamination on connector",Debug 2,1. Try new/golden temp sensor,Debug 2,1. Confirm mobo replacement,Debug 2,1. Confirm mobo replacement
Total Sensors fail,"total number of sensors is not expected value:[136](actual:132)-----------
 Missing:['P48V VIN,Volts;', 'HOTSWAP PIN,Watts;', 'HOTSWAP T,degrees C;', 'P48V IOUT,Amps;']
 Extra:[]
",Retest,1. Retest,Repair 1,"1. Visual inspection on gulp connector
1.1 If no issues found, reseat gulp
1.2 If physical damage found, send to Repair 2 for mobo replacement",Repair 1,1. Replace Gulp,Debug 1,1. Try new/golden gulp,Debug 2,1. Confirm mobo replacement
test-completion-missing-error-sat,Diag execution failed.,Retest,1. Retest,Debug 1,"1. Look for bad dimm on 'gsys event records list' response
2. Reseat all dimms",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo"
DUT is not for test,"The DUT, FWI2503-02942, is not for test. (Level: 2)
Response from shop floor: Status code is '422' with message 'Serial Number is not at this station.'.",Debug 1,"1. Verify current station in SFC
2. If unit is for 'Repair' in SFC, fix unit based on current failure.",Debug 1,"1. Verify current station in SFC
2. If unit is for 'Repair' in SFC, fix unit based on current failure.",Debug 2,"1. Verify current station in SFC
2. Verify for missing or duplicated SNs on keyparts
3. If unit is for 'Repair' in SFC, fix unit based on current failure.",Debug 2,"1. Verify current station in SFC
2. Verify for missing or duplicated SNs on keyparts
3. If unit is for 'Repair' in SFC, fix unit based on current failure.",Debug 2,"1. Verify current station in SFC
2. Verify for missing or duplicated SNs on keyparts
3. If unit is for 'Repair' in SFC, fix unit based on current failure."
"Validate Diorite PN, SN and installed slot Failed",Send command 'htool --usb_loc 1-1.1 target reset on' failed.,Repair 2,"1. Verify for proper seating on PE0 PCIe cable
1.1 If cable not fully seated, just reseat cable.
1.2 If cable is properly seated, swap PE0 to PE1 PCIe cable
2. Reseat agora",Debug 1,"1. Verify previous repair action
2. If failure is following PCIe cable, replace PCIe cable
3. If failure is staying on same slot, try golden NIC.",Debug 2,"1. Verify previous repair action
2. Try new/golden agora
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try new/golden agora
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try new/golden agora
3. Confirm mobo issue"
"Validate Diorite PN, SN and installed slot Failed","Send command 'htool --usb_loc 1-1.1 target reset on' failed.
Failure Info:
Exception message: Timeout opening channel.",Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Try new/golden Agora and PCIe cable
2. Try new/golden NIC card
3. Send to repair to replace the bad part",Debug 2,"1. Try new/golden Agora and PCIe cable
2. Try new/golden NIC card
3. Send to repair to replace the bad part"
"Validate Diorite PN, SN and installed slot Failed",Send command 'htool --usb_loc 1-1.2 target reset on' failed.,Repair 2,"1. Verify for proper seating on PE1 PCIe cable
1.1 If cable not fully seated, just reseat cable.
1.2 If cable is properly seated, swap PE1 to PE0 PCIe cable
2. Reseat agora",Debug 1,"1. Verify previous repair action
2. If failure is following PCIe cable, replace PCIe cable
3. If failure is staying on same slot, try golden NIC.",Debug 2,"1. Verify previous repair action
2. Try golden agora
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try golden agora
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try golden agora
3. Confirm mobo issue"
"Validate Diorite PN, SN and installed slot Failed","Send command 'htool --usb_loc 1-1.2 target reset on' failed.
Failure Info:
Exception message: Timeout opening channel.",Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Try golden Agora and PCIe cable
2. Try golden NIC card
3. Send to repair to replace the bad part",Debug 2,"1. Try golden Agora and PCIe cable
2. Try golden NIC card
3. Send to repair to replace the bad part"
"Validate Diorite PN, SN and installed slot Failed",Send command 'htool --usb_loc 1-1.7.1 target reset on' failed.,Repair 2,"1. Verify for proper seating on PE6 PCIe cable
1.1 If cable not fully seated, just reseat cable.
1.2 If cable is properly seated, swap PE6 to PE7 PCIe cable
2. Reseat agora",Debug 1,"1. Verify previous repair action
2. If failure is following PCIe cable, replace PCIe cable
3. If failure is staying on same slot, try golden NIC.",Debug 2,"1. Verify previous repair action
2. Try golden agora
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try golden agora
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try golden agora
3. Confirm mobo issue"
"Validate Diorite PN, SN and installed slot Failed","Send command 'htool --usb_loc 1-1.7.1 target reset on' failed.
Failure Info:
Exception message: Timeout opening channel.",Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Try golden Agora and PCIe cable
2. Try golden NIC card
3. Send to repair to replace the bad part",Debug 2,"1. Try golden Agora and PCIe cable
2. Try golden NIC card
3. Send to repair to replace the bad part"
"Validate Diorite PN, SN and installed slot Failed",Send command 'htool --usb_loc 1-1.7.2 target reset on' failed.,Repair 2,"1. Verify for proper seating on PE7 PCIe cable
1.1 If cable not fully seated, just reseat cable.
1.2 If cable is properly seated, swap PE7 to PE6 PCIe cable
2. Reseat agora",Debug 1,"1. Verify previous repair action
2. If failure is following PCIe cable, replace PCIe cable
3. If failure is staying on same slot, try golden NIC.",Debug 2,"1. Verify previous repair action
2. Try golden agora
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try golden agora
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try golden agora
3. Confirm mobo issue"
"Validate Diorite PN, SN and installed slot Failed","Send command 'htool --usb_loc 1-1.7.2 target reset on' failed.
Failure Info:
Exception message: Timeout opening channel.",Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Try golden Agora and PCIe cable
2. Try golden NIC card
3. Send to repair to replace the bad part",Debug 2,"1. Try golden Agora and PCIe cable
2. Try golden NIC card
3. Send to repair to replace the bad part"
ncsi_cable-preparation-error,Failed to detect NCSI Cable on Diorite CN,Repair 1,"1. Verify proper seating for NCSI cable on both ends
2. Reseat NCSI cable on both ends",Repair 1,"1. Verify previous repair action
2. Replace NCSI cable",Repair 2,1. Replace NIC card,Debug 1,"1. Try new/golden NCSI cable
2. Try new/golden NIC card
3. Confirm mobo issue",Debug 2,"1. Try new/golden NCSI cable
2. Try new/golden NIC card
3. Confirm mobo issue"
test-completion-missing-error-memtester,Diag execution failed.,Retest,1. Retest,Debug 1,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo"
test-completion-missing-error-rainbow,Diag execution failed.,Retest,1. Retest,Debug 2,"1. Look for bad dimm on 'gsys event records list' response
1.1 If no error seen for dimm, retest for 2nd time
1.2 If error seen for dimm, replace dimm directly",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for all list of symptom labels to confirm real SDC failure.
4. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for all list of symptom labels to confirm real SDC failure.
4. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for all list of symptom labels to confirm real SDC failure.
4. Look for MCE HW error related to CPU, replace mobo"
test-completion-missing-error-error_monitor,Diag execution failed.,Retest,1. Retest,Retest,1. Retest,Debug 1,1. Discard unit is not rebooting unexpectedly,Debug 2,1. Discard unit is not rebooting unexpectedly,Debug 2,1. Verify failure with TE/FAE
Hardware config check failed,Send command '/usr/local/bin/gsys -k fru info' failed.,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Discard unit is rebooting unexpectedly, if that is the case isolate for bad dimm",Debug 2,"1. Discard unit is rebooting unexpectedly, if that is the case isolate for bad dimm",Debug 2,"1. If unit keeps rebooting after dimm isolation process, confirm mobo replacement"
CPU location validation failure,Component CPU SN: 9LS6995W20093_100-000000782 not found on unit,Repair 1,1. Swap CPU SNs in SFC,Debug 1,1. Verify CPU SN match physically and SFC,Debug 2,1. Verify CPU SN match physically and SFC,Debug 2,1. Verify CPU SN match physically and SFC,Debug 2,1. Verify CPU SN match physically and SFC
Update Google BIOS Failed,"Update BIOS failed.
bios.bin
bios.sig",Retest,1. Retest,Repair 1,1. Replace agora,Debug 1,1. Validate correct BIOS version by test rack,Debug 2,"1. Validate correct BIOS version by test rack
2. Confirm mobo replacement",Debug 2,"1. Validate correct BIOS version by test rack
2. Confirm mobo replacement"
Update Google BIOS Failed,"Send command '/export/hda3/meltan/biosintegrity/biosintegrity --expected_bios_version=""0.20230627.0-0""' failed.
Failure Info:",Retest,1. Retest,Repair 1,1. Replace agora,Debug 1,1. Validate correct BIOS version by test rack,Debug 2,"1. Validate correct BIOS version by test rack
2. Confirm mobo replacement",Debug 2,"1. Validate correct BIOS version by test rack
2. Confirm mobo replacement"
DMA stress test Failed,Send command 'sh /root/run_dmatest_host_per.sh 0x100000 0x1C2000' failed.,Retest,1. Retest,Repair 1,1. Reseat agora,Debug 1,"1. Try golden agora
2. Isolate for bad HB16 or PCIe cable",Debug 2,1. Confirm mobo replacement,Debug 2,1. Confirm mobo replacement
DMA stress test Failed,Send command 'ls /root/run_dmatest_host_per.sh' failed.,Retest,1. Retest,Repair 1,1. Reseat agora,Debug 1,"1. Try golden agora
2. Isolate for bad HB16 or PCIe cable",Debug 2,1. Confirm mobo replacement,Debug 2,1. Confirm mobo replacement
DMA stress test Failed,Send command 'ls /sys/module/dmatest/parameters/' failed.,Retest,1. Retest,Repair 1,1. Reseat agora,Debug 1,"1. Try golden agora
2. Isolate for bad HB16 or PCIe cable",Debug 2,1. Confirm mobo replacement,Debug 2,1. Confirm mobo replacement
DMA stress test Failed,DMA channel not found in stress result,Retest,1. Retest,Repair 1,1. Reseat agora,Debug 1,"1. Try golden agora
2. Isolate for bad HB16 or PCIe cable",Debug 2,1. Confirm mobo replacement,Debug 2,1. Confirm mobo replacement
bad-bus,"For local bus /phys/CPU0:device:nbio0.0:pcie_root@bridge:port1.1:\nexpected speed: 16.0GT/s, actual speed: 2.5GT/s",Repair 2,"1. Verify all PCIe cables seating
2. Reseat all PCIe cables",Debug 1,"1. Verify previous repair action
2. Identify failing PE slot
3. Reseat/Swap PCIe cable",Debug 2,"1. Verify previous repair action
2. Try new/golden PCIe cable
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try new/golden PCIe cable
3. Confirm mobo issue",Debug 2,"1. Verify previous repair action
2. Try new/golden PCIe cable
3. Confirm mobo issue"
HB16 location validation failure,Component HB16 SN: HABQTW244722653 not found on unit,Repair 2,"1. Swap PE# to PE## HB16 cards, reseat PE# PCIe cable",Debug 1,"1. Verify previous repair action
2. Failure following HB16 card: Replace HB16 card
3. Failure staying on same slot: Replace PCIe cable",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
3. Confirm mobo replacement",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
3. Confirm mobo replacement",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
3. Confirm mobo replacement"
HB16 location validation failure,"Component HB16 SN HABQTW244707620 location: PE3.IO0, expected location: PE2.IO0",Repair 2,"1. Swap PE# and PE## HB16 cards in SFC only, not physically",Debug 1,"1. Verify previous repair action
2. Verify HB16 SN is matching SFC and physical label",Debug 2,"1. Verify previous repair action
2. Verify HB16 SN is matching SFC and physical label",Debug 2,"1. Verify previous repair action
2. Verify HB16 SN is matching SFC and physical label",Debug 2,"1. Verify previous repair action
2. Verify HB16 SN is matching SFC and physical label"
index-error-exception,"Caught IndexError exception.
Traceback (most recent call last):",Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,1. Validate with TE/FAE,Debug 2,1. Validate with TE/FAE
Foxconn BMC validation Failed,"BMC bmc version' on unit: 'fbmc, dev, 23.6.0.1', expected: 'fbmc, local, 24.49.0.0'",Retest,1. Retest,Retest,1. Retest,Repair 1,1. Replace agora,Debug 1,"1. Verify if agora was replaced
2. Verify if able to update BMC offline
2.1 If not able to update BMC then replace agora",Debug 2,"1. Verify if agora was replaced
2. Verify if able to update BMC offline
2.1 If not able to update BMC then replace agora"
Foxconn BMC validation Failed,"BMC bmc version' on unit: 'gbmc, dev, 80.35.12.1', expected: 'fbmc, local, 24.49.0.0'",Repair 1,1. Replace agora,Debug 1,"1. Verify if agora was replaced
2. Verify BMC version is google/foxconn version
2.1 Replace agora if google version found",Debug 2,"1. Verify if agora was replaced
2. Verify BMC version is google/foxconn version
2.1 Replace agora if google version found",Debug 2,"1. Verify if agora was replaced
2. Verify BMC version is google/foxconn version
2.1 Replace agora if google version found",Debug 2,"1. Verify if agora was replaced
2. Verify BMC version is google/foxconn version
2.1 Replace agora if google version found"
Check Firmware Fail,"MB CPLD version is Not get the version, but expect version should be  2.5.0.0",Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Repair 1,1. Replace agora,Debug 2,"1. Verify FW version that is not matching belings to agora or mobo.
2. Replace agora or mobo"
test-completion-missing-error-amd_cpu_power_virus,Diag execution failed.,Retest,1. Retest,Debug 1,"1. Look for bad dimm on 'gsys event records list' response
1.1 If no error seen for dimm, retest for 2nd time
1.2 If error seen for dimm, replace dimm directly",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
1.1 If error seen, replace dimm directly
2. If unit is getting rebooted, isolate for bad dimm
3. Look for all list of symptom labels to confirm real SDC failure.
4. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
1.1 If error seen, replace dimm directly
2. If unit is getting rebooted, isolate for bad dimm
3. Look for all list of symptom labels to confirm real SDC failure.
4. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
1.1 If error seen, replace dimm directly
2. If unit is getting rebooted, isolate for bad dimm
3. Look for all list of symptom labels to confirm real SDC failure.
4. Look for MCE HW error related to CPU, replace mobo"
Diorite Serial Number,value='PDFCTH242516932' lower_limit='PDFCTH242516934' upper_limit='',Debug 1,1. Verify NIC SN is matching on FRU and physical label,Debug 1,1. Verify NIC SN is matching on FRU and physical label,Debug 2,1. Verify NIC SN is matching on FRU and physical label,Debug 2,1. Verify NIC SN is matching on FRU and physical label,Debug 2,1. Verify NIC SN is matching on FRU and physical label
Update Google BMC Failed,"Send command '/export/hda3/meltan/bmcintegrity/bmcintegrity --expected_bmc_version=""gbmc_23.6.36.200""' failed.
Failure Info:",Retest,1. Retest,Repair 1,1. Replace agora,Debug 1,1. Validate correct BMC version by test rack,Debug 2,"1. Validate correct BMC version by test rack
2. Confirm mobo replacement",Debug 2,"1. Validate correct BMC version by test rack
2. Confirm mobo replacement"
excessive-correctable-unclassified-cpu-errors,"CPU0 UNCLASSIFIED, Error type: correctable-cpu-errors, Rate 0.20 > Threshold 0.00 count/minute.",Retest,1. Retest,Debug 1,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo"
excessive-correctable-unclassified-cpu-errors,"CPU1 UNCLASSIFIED, Error type: correctable-cpu-errors, Rate 0.20 > Threshold 0.00 count/minute.",Retest,1. Retest,Debug 1,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo",Debug 2,"1. Confirm 2nd time failure for same CPU socket
2. Check for error messages related to DIMM
2.1 Error message found related to DIMM (""Locator: ""), replace dimm directly
2.2 No dimm related error messages, replace mobo"
Create Host SSH Connection failed,[Errno -5] No address associated with hostname,Retest,1. Retest,Debug 1,"1. Verify PCIe cables seating
2. Verify all NIC cards having correct IP by booting up unit in moba
3. Replace NIC card if not able to get IP",Debug 2,"1. Verify PCIe cables seating
2. Verify all NIC cards having correct IP by booting up unit in moba
3. If NIC card has been replaced, replace PCIe cable",Debug 2,"1. Verify PCIe cables seating
2. Verify all NIC cards having correct IP by booting up unit in moba
3. If NIC card and PCIe cable has been replaced, confirm mobo replacement",Debug 2,"1. Verify PCIe cables seating
2. Verify all NIC cards having correct IP by booting up unit in moba
3. If NIC card and PCIe cable has been replaced, confirm mobo replacement"
Create Host SSH Connection failed,Unable to connect to 192.168.200.238: [Errno 113] No route to host,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Verify PCIe cables seating
2. Verify all NIC cards having correct IP by booting up unit in moba
3. Replace NIC card if not able to get IP",Debug 2,"1. Verify PCIe cables seating
2. Verify all NIC cards having correct IP by booting up unit in moba
3. If NIC card has been replaced, replace PCIe cable",Debug 2,"1. Verify PCIe cables seating
2. Verify all NIC cards having correct IP by booting up unit in moba
3. If NIC card and PCIe cable has been replaced, confirm mobo replacement"
unknown-pcie-location,"PCIe location: '0000:01:01.4', is not found.",Repair 2,1. Swap PCIe cable PE0 to PE1,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Check repair history, if PCIe cable replaced then replace NIC card
2. If NIC card replaced, then replace PCIe cable",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
unknown-pcie-location,"PCIe location: '0000:21:01.5', is not found.",Repair 2,1. Swap PCIe cable PE1 to PE0,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Check repair history, if PCIe cable replaced then replace NIC card
2. If NIC card replaced, then replace PCIe cable",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
unknown-pcie-location,"PCIe location: '0000:41:00.0', is not found.",Repair 2,1. Swap PCIe cable PE2 to PE3,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Check repair history, if PCIe cable replaced then replace NIC card
2. If NIC card replaced, then replace PCIe cable",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
unknown-pcie-location,"PCIe location: '0000:61:00.0', is not found.",Repair 2,1. Swap PCIe cable PE3 to PE2,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Check repair history, if PCIe cable replaced then replace NIC card
2. If NIC card replaced, then replace PCIe cable",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
unknown-pcie-location,"PCIe location: '0000:81:00.0', is not found.",Repair 2,1. Swap PCIe cable PE4 to PE5,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Check repair history, if PCIe cable replaced then replace NIC card
2. If NIC card replaced, then replace PCIe cable",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
unknown-pcie-location,"PCIe location: '0000:a1:00.0', is not found.",Repair 2,1. Swap PCIe cable PE5 to PE4,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Check repair history, if PCIe cable replaced then replace NIC card
2. If NIC card replaced, then replace PCIe cable",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
unknown-pcie-location,"PCIe location: '0000:c1:00.3', is not found.",Repair 2,1. Swap PCIe cable PE6 to PE7,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Check repair history, if PCIe cable replaced then replace NIC card
2. If NIC card replaced, then replace PCIe cable",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
